B7;Reserved ;R/W;0
B8;Reserved ;R/W;0
C8;Channel Output 0 control ;R/W;31
C9;Channel Output 0 control ;R/W;3C
CA;Channel Output 0 control ;R/W;0
CB;Channel Output 0 control ;R/W;0
CC;Channel Output 0 control ;R/W;0
CD;Channel Output 0 control ;R/W;0
CE;Channel Output 0 control ;R/W;0
CF;Channel Output 0 control ;R/W;0
D0;Channel Output 0 control ;R/W;10
D1;Channel Output 0 control ;R/W;0
D2;Channel Output 1 control ;R/W;31
D3;Channel Output 1 control ;R/W;80
D4;Channel Output 1 control ;R/W;1
D5;Channel Output 1 control ;R/W;0
D6;Channel Output 1 control ;R/W;0
D7;Channel Output 1 control ;R/W;0
D8;Channel Output 1 control ;R/W;0
D9;Channel Output 1 control ;R/W;0
DA;Channel Output 1 control ;R/W;11
DB;Channel Output 1 control ;R/W;0
DC;Channel Output 2 control ;R/W;31
DD;Channel Output 2 control ;R/W;3C
DE;Channel Output 2 control ;R/W;0
DF;Channel Output 2 control ;R/W;0
E0;Channel Output 2 control ;R/W;0
E1;Channel Output 2 control ;R/W;0
E2;Channel Output 2 control ;R/W;0
E3;Channel Output 2 control ;R/W;0
E4;Channel Output 2 control ;R/W;10
E5;Channel Output 2 control ;R/W;0
E6;Channel Output 3 control ;R/W;31
E7;Channel Output 3 control ;R/W;80
E8;Channel Output 3 control ;R/W;1
E9;Channel Output 3 control ;R/W;0
EA;Channel Output 3 control ;R/W;0
EB;Channel Output 3 control ;R/W;0
EC;Channel Output 3 control ;R/W;0
ED;Channel Output 3 control ;R/W;0
EE;Channel Output 3 control ;R/W;11
EF;Channel Output 3 control ;R/W;0
F0;Channel Output 4 control ;R/W;30
F1;Channel Output 4 control ;R/W;3C
F2;Channel Output 4 control ;R/W;0
F3;Channel Output 4 control ;R/W;2
F4;Channel Output 4 control ;R/W;0
F5;Channel Output 4 control ;R/W;0
F6;Channel Output 4 control ;R/W;0
F7;Channel Output 4 control ;R/W;0
F8;Channel Output 4 control ;R/W;10
F9;Channel Output 4 control ;R/W;0
FA;Channel Output 5 control ;R/W;30
FB;Channel Output 5 control ;R/W;80
FC;Channel Output 5 control ;R/W;1
FD;Channel Output 5 control ;R/W;0
FE;Channel Output 5 control ;R/W;0
FF;Channel Output 5 control ;R/W;0
100;Channel Output 5 control ;R/W;0
101;Channel Output 5 control ;R/W;0
102;Channel Output 5 control ;R/W;13
103;Channel Output 5 control ;R/W;0
104;Channel Output 6 control ;R/W;30
105;Channel Output 6 control ;R/W;3C
106;Channel Output 6 control ;R/W;0
107;Channel Output 6 control ;R/W;0
108;Channel Output 6 control ;R/W;0
109;Channel Output 6 control ;R/W;0
10A;Channel Output 6 control ;R/W;0
10B;Channel Output 6 control ;R/W;0
10C;Channel Output 6 control ;R/W;10
10D;Channel Output 6 control ;R/W;0
10E;Channel Output 7 control ;R/W;30
10F;Channel Output 7 control ;R/W;80
110;Channel Output 7 control ;R/W;1
111;Channel Output 7 control ;R/W;0
112;Channel Output 7 control ;R/W;0
113;Channel Output 7 control ;R/W;0
114;Channel Output 7 control ;R/W;0
115;Channel Output 7 control ;R/W;0
116;Channel Output 7 control ;R/W;13
117;Channel Output 7 control ;R/W;0
118;Channel Output 8 control ;R/W;34
119;Channel Output 8 control ;R/W;3C
11A;Channel Output 8 control ;R/W;0
11B;Channel Output 8 control ;R/W;0
11C;Channel Output 8 control ;R/W;0
11D;Channel Output 8 control ;R/W;0
11E;Channel Output 8 control ;R/W;0
11F;Channel Output 8 control ;R/W;0
120;Channel Output 8 control ;R/W;10
121;Channel Output 8 control ;R/W;0
122;Channel Output 9 control ;R/W;30
123;Channel Output 9 control ;R/W;80
124;Channel Output 9 control ;R/W;1
125;Channel Output 9 control ;R/W;0
126;Channel Output 9 control ;R/W;0
127;Channel Output 9 control ;R/W;0
128;Channel Output 9 control ;R/W;0
129;Channel Output 9 control ;R/W;0
12A;Channel Output 9 control ;R/W;13
12B;Channel Output 9 control ;R/W;0
12C;Channel Output 10 control ;R/W;31
12D;Channel Output 10 control ;R/W;3C
12E;Channel Output 10 control ;R/W;0
12F;Channel Output 10 control ;R/W;0
130;Channel Output 10 control ;R/W;0
131;Channel Output 10 control ;R/W;0
132;Channel Output 10 control ;R/W;0
133;Channel Output 10 control ;R/W;0
134;Channel Output 10 control ;R/W;10
135;Channel Output 10 control ;R/W;0
136;Channel Output 11 control ;R/W;35
137;Channel Output 11 control ;R/W;80
138;Channel Output 11 control ;R/W;1
139;Channel Output 11 control ;R/W;0
13A;Channel Output 11 control ;R/W;0
13B;Channel Output 11 control ;R/W;0
13C;Channel Output 11 control ;R/W;0
13D;Channel Output 11 control ;R/W;0
13E;Channel Output 11 control ;R/W;11
13F;Channel Output 11 control ;R/W;0
140;Channel Output 12 control ;R/W;31
141;Channel Output 12 control ;R/W;3C
142;Channel Output 12 control ;R/W;0
143;Channel Output 12 control ;R/W;0
144;Channel Output 12 control ;R/W;2
145;Channel Output 12 control ;R/W;0
146;Channel Output 12 control ;R/W;0
147;Channel Output 12 control ;R/W;0
148;Channel Output 12 control ;R/W;10
149;Channel Output 12 control ;R/W;0
14A;Channel Output 13 control ;R/W;30
14B;Channel Output 13 control ;R/W;80
14C;Channel Output 13 control ;R/W;1
14D;Channel Output 13 control ;R/W;0
14E;Channel Output 13 control ;R/W;0
14F;Channel Output 13 control ;R/W;1
150;Channel Output 13 control ;R/W;0
151;Channel Output 13 control ;R/W;0
152;Channel Output 13 control ;R/W;13
153;Channel Output 13 control ;R/W;0
C;Channel Output 13 control ;R/W;0
14D;Channel Output 13 control ;R/W;0
14E;Channel Output 13 control ;R/W;0
14F;Channel Output 13 control ;R/W;1
150;Channel Output 13 control ;R/W;0
151;Channel Output 13 control ;R/W;0
152;Channel Output 13 control ;R/W;13
153;Channel Output 13 control ;R/W;0
