Event Head; Event Num = 17
Packet Head; Packet Num = 0
Frame = 10; Sample 1 = 2347; Sample 2 = 2897
Frame = 11; Sample 1 = 2363; Sample 2 = 2897
Frame = 12; Sample 1 = 2379; Sample 2 = 2897
Frame = 13; Sample 1 = 2395; Sample 2 = 2898
Frame = 14; Sample 1 = 2411; Sample 2 = 2898
Frame = 15; Sample 1 = 2427; Sample 2 = 2898
Frame = 16; Sample 1 = 2443; Sample 2 = 2898
Frame = 17; Sample 1 = 2459; Sample 2 = 2898
Frame = 18; Sample 1 = 2475; Sample 2 = 2898
Frame = 19; Sample 1 = 2491; Sample 2 = 2898
Packet Tail; Frames Count = 20
Packet Head; Packet Num = 8
Frame = 0; Sample 1 = 2507; Sample 2 = 2898
Frame = 1; Sample 1 = 2523; Sample 2 = 2898
Frame = 2; Sample 1 = 2539; Sample 2 = 2898
Frame = 3; Sample 1 = 2555; Sample 2 = 2898
Frame = 4; Sample 1 = 2571; Sample 2 = 2898
Frame = 5; Sample 1 = 2587; Sample 2 = 2898
Frame = 6; Sample 1 = 2603; Sample 2 = 2898
Frame = 7; Sample 1 = 2619; Sample 2 = 2898
Frame = 8; Sample 1 = 2635; Sample 2 = 2898
Frame = 9; Sample 1 = 2651; Sample 2 = 2899
Frame = 10; Sample 1 = 2667; Sample 2 = 2899
Frame = 11; Sample 1 = 2683; Sample 2 = 2899
Frame = 12; Sample 1 = 2699; Sample 2 = 2899
Frame = 13; Sample 1 = 2715; Sample 2 = 2899
Frame = 14; Sample 1 = 2731; Sample 2 = 2899
Frame = 15; Sample 1 = 2747; Sample 2 = 2899
Frame = 16; Sample 1 = 2763; Sample 2 = 2899
Frame = 17; Sample 1 = 2779; Sample 2 = 2899
Frame = 18; Sample 1 = 2795; Sample 2 = 2899
Frame = 19; Sample 1 = 2811; Sample 2 = 2899
Packet Tail; Frames Count = 20
Packet Head; Packet Num = 9
Frame = 0; Sample 1 = 2827; Sample 2 = 2899
Frame = 1; Sample 1 = 2843; Sample 2 = 2899
Frame = 2; Sample 1 = 2859; Sample 2 = 2899
Frame = 3; Sample 1 = 2875; Sample 2 = 2899
Frame = 4; Sample 1 = 2891; Sample 2 = 2899
Frame = 5; Sample 1 = 2907; Sample 2 = 2900
Frame = 6; Sample 1 = 2923; Sample 2 = 2900
Frame = 7; Sample 1 = 2939; Sample 2 = 2900
Frame = 8; Sample 1 = 2955; Sample 2 = 2900
Frame = 9; Sample 1 = 2971; Sample 2 = 2900
Frame = 10; Sample 1 = 2987; Sample 2 = 2900
Frame = 11; Sample 1 = 3003; Sample 2 = 2900
Frame = 12; Sample 1 = 3019; Sample 2 = 2900
Frame = 13; Sample 1 = 3035; Sample 2 = 2900
Frame = 14; Sample 1 = 3051; Sample 2 = 2900
Frame = 15; Sample 1 = 3067; Sample 2 = 2900
Frame = 16; Sample 1 = 3083; Sample 2 = 2900
Frame = 17; Sample 1 = 3099; Sample 2 = 2900
Frame = 18; Sample 1 = 3115; Sample 2 = 2900
Frame = 19; Sample 1 = 3131; Sample 2 = 2900
Packet Tail; Frames Count = 20
Packet Head; Packet Num = 10
Frame = 0; Sample 1 = 3147; Sample 2 = 2900
Frame = 1; Sample 1 = 3163; Sample 2 = 2901
Frame = 2; Sample 1 = 3179; Sample 2 = 2901
Frame = 3; Sample 1 = 3195; Sample 2 = 2901
Frame = 4; Sample 1 = 3211; Sample 2 = 2901
Frame = 5; Sample 1 = 3227; Sample 2 = 2901
Frame = 6; Sample 1 = 3243; Sample 2 = 2901
Frame = 7; Sample 1 = 3259; Sample 2 = 2901
Frame = 8; Sample 1 = 3275; Sample 2 = 2901
Frame = 9; Sample 1 = 3291; Sample 2 = 2901
Frame = 10; Sample 1 = 3307; Sample 2 = 2901
Frame = 11; Sample 1 = 3323; Sample 2 = 2901
Frame = 12; Sample 1 = 3339; Sample 2 = 2901
Frame = 13; Sample 1 = 3355; Sample 2 = 2901
Frame = 14; Sample 1 = 3371; Sample 2 = 2901
Frame = 15; Sample 1 = 3387; Sample 2 = 2901
Frame = 16; Sample 1 = 3403; Sample 2 = 2901
Frame = 17; Sample 1 = 3419; Sample 2 = 2902
Frame = 18; Sample 1 = 3435; Sample 2 = 2902
Frame = 19; Sample 1 = 3451; Sample 2 = 2902
Packet Tail; Frames Count = 20
Packet Head; Packet Num = 11
Frame = 0; Sample 1 = 3467; Sample 2 = 2902
Frame = 1; Sample 1 = 3483; Sample 2 = 2902
Frame = 2; Sample 1 = 3499; Sample 2 = 2902
Frame = 3; Sample 1 = 3515; Sample 2 = 2902
Frame = 4; Sample 1 = 3531; Sample 2 = 2902
Frame = 5; Sample 1 = 3547; Sample 2 = 2902
Frame = 6; Sample 1 = 3563; Sample 2 = 2902
Frame = 7; Sample 1 = 3579; Sample 2 = 2902
Frame = 8; Sample 1 = 3595; Sample 2 = 2902
Frame = 9; Sample 1 = 3611; Sample 2 = 2902
Frame = 10; Sample 1 = 3627; Sample 2 = 2902
Frame = 11; Sample 1 = 3643; Sample 2 = 2902
Frame = 12; Sample 1 = 3659; Sample 2 = 2902
Frame = 13; Sample 1 = 3675; Sample 2 = 2903
Frame = 14; Sample 1 = 3691; Sample 2 = 2903
Frame = 15; Sample 1 = 3707; Sample 2 = 2903
Frame = 16; Sample 1 = 3723; Sample 2 = 2903
Frame = 17; Sample 1 = 3739; Sample 2 = 2903
Frame = 18; Sample 1 = 3755; Sample 2 = 2903
Frame = 19; Sample 1 = 3771; Sample 2 = 2903
Packet Tail; Frames Count = 20
Packet Head; Packet Num = 12
